gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	celltype	condition	supercluster
Tmem51	6.34E-200	4.238503275	0.216	0.018	3.61E-195	73	MDM	non-homeostasis	
Ciita	3.00E-188	3.817275856	0.235	0.022	1.71E-183	73	MDM	non-homeostasis	
Sirpb1c	2.14E-179	3.918786895	0.206	0.018	1.22E-174	73	MDM	non-homeostasis	
Ms4a4a	3.10E-170	3.125901853	0.285	0.035	1.77E-165	73	MDM	non-homeostasis	
Creb5	2.52E-155	3.104254415	0.408	0.075	1.44E-150	73	MDM	non-homeostasis	
Cyp4f18	1.77E-147	3.804289046	0.201	0.021	1.01E-142	73	MDM	non-homeostasis	
Gbp8	2.79E-143	3.436002751	0.3	0.045	1.58E-138	73	MDM	non-homeostasis	
Morrbid	1.67E-141	3.124832785	0.465	0.107	9.52E-137	73	MDM	non-homeostasis	
Msr1	1.62E-130	3.142155407	0.338	0.06	9.23E-126	73	MDM	non-homeostasis	
Ms4a4c	4.95E-129	3.450138389	0.23	0.03	2.82E-124	73	MDM	non-homeostasis	
Macrod2	2.55E-95	3.281100771	0.242	0.042	1.45E-90	73	MDM	non-homeostasis	
Pde7b	0	5.655481495	0.88	0.052	0	74	MDM	non-homeostasis	
Ms4a4c	0	5.837300866	0.732	0.028	0	74	MDM	non-homeostasis	
Slfn4	0	7.307652324	0.696	0.012	0	74	MDM	non-homeostasis	
Ccr2	0	5.246179767	0.681	0.034	0	74	MDM	non-homeostasis	
Klra2	0	5.52042981	0.66	0.025	0	74	MDM	non-homeostasis	
Gpr141	0	5.72794082	0.644	0.022	0	74	MDM	non-homeostasis	
Spon1	0	4.989271293	0.595	0.037	0	74	MDM	non-homeostasis	
Plac8	0	5.2001506	0.552	0.023	0	74	MDM	non-homeostasis	
Ifit2	0	4.970462812	0.505	0.03	0	74	MDM	non-homeostasis	
Oasl1	0	5.073516369	0.463	0.02	0	74	MDM	non-homeostasis	
Sirpb1b	0	5.102499127	0.418	0.016	0	74	MDM	non-homeostasis	
Rsad2	0	5.3012796	0.42	0.018	0	74	MDM	non-homeostasis	
Sirpb1c	0	4.93520839	0.4	0.017	0	74	MDM	non-homeostasis	
Cxcl10	0	5.480092109	0.373	0.017	0	74	MDM	non-homeostasis	
Ifi205	0	6.191355387	0.306	0.006	0	74	MDM	non-homeostasis	
Ifi203-ps	0	6.013535383	0.265	0.006	0	74	MDM	non-homeostasis	
Arhgef37	0	5.512715054	0.248	0.008	0	74	MDM	non-homeostasis	
Cd40	0	4.92541863	0.231	0.01	0	74	MDM	non-homeostasis	
Vcan	0	5.772134832	0.225	0.007	0	74	MDM	non-homeostasis	
Ms4a8a	0	5.413496883	0.201	0.007	0	74	MDM	non-homeostasis	
Ifitm3	0	6.06076049	0.89	0.052	0	75	MDM	non-homeostasis	
Ms4a4c	0	5.777126679	0.823	0.029	0	75	MDM	non-homeostasis	
Isg15	0	5.400138379	0.669	0.033	0	75	MDM	non-homeostasis	
Plac8	0	5.480528978	0.613	0.024	0	75	MDM	non-homeostasis	
Ifitm2	0	5.827628463	0.58	0.013	0	75	MDM	non-homeostasis	
Ly6c2	0	5.659446246	0.569	0.024	0	75	MDM	non-homeostasis	
Emilin2	0	5.442196244	0.558	0.015	0	75	MDM	non-homeostasis	
Ecm1	0	6.12932164	0.508	0.012	0	75	MDM	non-homeostasis	
Chil3	0	5.726996048	0.492	0.019	0	75	MDM	non-homeostasis	
Thbs1	0	6.819205937	0.436	0.01	0	75	MDM	non-homeostasis	
AA467197	0	5.480301215	0.343	0.01	0	75	MDM	non-homeostasis	
Ifi205	0	5.458916543	0.32	0.007	0	75	MDM	non-homeostasis	
Hp	0	5.453073158	0.249	0.007	0	75	MDM	non-homeostasis	
Ly6i	0	5.995604543	0.243	0.006	0	75	MDM	non-homeostasis	
S100a4	0	5.92854429	0.21	0.004	0	75	MDM	non-homeostasis	
H2-Aa	1.18E-255	5.483643599	0.597	0.051	6.70E-251	75	MDM	non-homeostasis	
H2-Ab1	7.61E-252	5.564905613	0.586	0.05	4.33E-247	75	MDM	non-homeostasis	
Vcan	6.23E-250	6.140235375	0.227	0.007	3.54E-245	75	MDM	non-homeostasis	
Cd74	5.14E-217	5.464319623	0.779	0.107	2.93E-212	75	MDM	non-homeostasis	
Ccl2	3.46E-155	5.413656742	0.282	0.018	1.97E-150	75	MDM	non-homeostasis	
Pde7b	0	4.622262596	0.883	0.052	0	76	MDM	non-homeostasis	
Spon1	0	5.238924623	0.823	0.036	0	76	MDM	non-homeostasis	
Creb5	0	4.348373035	0.856	0.074	0	76	MDM	non-homeostasis	
Klra2	0	4.8522407	0.739	0.025	0	76	MDM	non-homeostasis	
Iigp1	0	4.95732991	0.747	0.046	0	76	MDM	non-homeostasis	
Gbp8	0	4.400636772	0.733	0.043	0	76	MDM	non-homeostasis	
Gpr141	0	4.379045384	0.566	0.023	0	76	MDM	non-homeostasis	
Ciita	0	4.527754646	0.531	0.021	0	76	MDM	non-homeostasis	
Sirpb1c	0	4.642533038	0.477	0.017	0	76	MDM	non-homeostasis	
Htr7	0	5.301104775	0.471	0.011	0	76	MDM	non-homeostasis	
Rnf217	0	4.601330553	0.362	0.014	0	76	MDM	non-homeostasis	
Ifi44	0	4.43616269	0.356	0.013	0	76	MDM	non-homeostasis	
Ifi203-ps	0	5.871273546	0.344	0.006	0	76	MDM	non-homeostasis	
Clec4n	0	4.540215018	0.29	0.013	0	76	MDM	non-homeostasis	
Cd40	0	4.756467615	0.28	0.01	0	76	MDM	non-homeostasis	
Adgrg5	0	5.078647997	0.249	0.007	0	76	MDM	non-homeostasis	
Cxcl9	0	5.740613956	0.233	0.007	0	76	MDM	non-homeostasis	
Serpina3g	0	6.145128608	0.222	0.004	0	76	MDM	non-homeostasis	
Mmp13	0	8.046824107	0.21	0.001	0	76	MDM	non-homeostasis	
Gbp2b	0	7.410386295	0.204	0.001	0	76	MDM	non-homeostasis	
Spon1	0	5.114998196	0.886	0.038	0	77	MDM	non-homeostasis	
Klra2	0	4.908683683	0.794	0.026	0	77	MDM	non-homeostasis	
Top2a	0	4.99388977	0.669	0.016	0	77	MDM	non-homeostasis	
Brip1	0	4.817338124	0.566	0.017	0	77	MDM	non-homeostasis	
Brca1	0	5.321224442	0.497	0.009	0	77	MDM	non-homeostasis	
Mki67	0	5.020894201	0.469	0.012	0	77	MDM	non-homeostasis	
Dtl	0	4.975304439	0.446	0.01	0	77	MDM	non-homeostasis	
Knl1	0	5.005818376	0.423	0.01	0	77	MDM	non-homeostasis	
Pole	0	4.947998343	0.36	0.007	0	77	MDM	non-homeostasis	
Rmi2	0	4.963221886	0.343	0.006	0	77	MDM	non-homeostasis	
Neil3	0	5.028614349	0.303	0.007	0	77	MDM	non-homeostasis	
Kif11	0	5.126009252	0.303	0.007	0	77	MDM	non-homeostasis	
Mcm10	0	5.601756275	0.286	0.004	0	77	MDM	non-homeostasis	
Uhrf1	0	4.994209948	0.286	0.005	0	77	MDM	non-homeostasis	
Kif4	0	4.935262974	0.286	0.006	0	77	MDM	non-homeostasis	
Rad54b	0	4.855880004	0.28	0.006	0	77	MDM	non-homeostasis	
E2f7	0	5.525247496	0.24	0.003	0	77	MDM	non-homeostasis	
Bub1	0	5.481387864	0.229	0.004	0	77	MDM	non-homeostasis	
E2f8	0	5.076215743	0.206	0.004	0	77	MDM	non-homeostasis	
Ticrr	0	4.857251243	0.206	0.004	0	77	MDM	non-homeostasis	
Mki67	0	6.576041081	0.592	0.012	0	78	MDM	non-homeostasis	
Neil3	0	6.819542116	0.507	0.007	0	78	MDM	non-homeostasis	
Mbnl3	0	6.336142295	0.451	0.006	0	78	MDM	non-homeostasis	
Anxa1	0	5.89877924	0.408	0.008	0	78	MDM	non-homeostasis	
Rab44	0	6.460543167	0.38	0.003	0	78	MDM	non-homeostasis	
E2f8	0	6.711492532	0.352	0.004	0	78	MDM	non-homeostasis	
Prtn3	0	8.10195521	0.296	0.002	0	78	MDM	non-homeostasis	
Myb	0	6.910575205	0.296	0.004	0	78	MDM	non-homeostasis	
E2f7	0	6.596576162	0.296	0.004	0	78	MDM	non-homeostasis	
Fcnb	0	10.19077383	0.225	0	0	78	MDM	non-homeostasis	
Ltf	0	6.841579327	0.225	0.002	0	78	MDM	non-homeostasis	
Exo1	1.27E-292	6.297228144	0.268	0.004	7.24E-288	78	MDM	non-homeostasis	
Cenpe	4.15E-280	5.916845338	0.408	0.009	2.36E-275	78	MDM	non-homeostasis	
Sgms2	2.19E-269	5.958618225	0.366	0.007	1.25E-264	78	MDM	non-homeostasis	
Ngp	5.04E-264	6.799408432	0.282	0.004	2.87E-259	78	MDM	non-homeostasis	
Bub1	5.40E-208	6.0719025	0.239	0.004	3.07E-203	78	MDM	non-homeostasis	
Shcbp1	1.35E-204	6.04182316	0.268	0.005	7.70E-200	78	MDM	non-homeostasis	
Camp	8.22E-189	6.205488381	0.225	0.004	4.67E-184	78	MDM	non-homeostasis	
Gria3	6.03E-161	6.561552592	0.437	0.018	3.43E-156	78	MDM	non-homeostasis	
Abca13	1.38E-117	6.284529788	0.282	0.01	7.84E-113	78	MDM	non-homeostasis	
